"","GEOID","county","hhincome","hhincome_log","pct_pov","pct_pov_log","pct_white","pop","review_count","review_count_log","avg_rating","avg_price","n"
"123","13089021221","DeKalb County",111146,11.618689899042,0.034018691588785,-3.12314092643358,0.647476635514019,2675,36.5,3.6242520361853,"2","2",2
"124","13089021222","DeKalb County",89728,11.4046495926759,0.243338884263114,-1.373027223045,0.54808665721806,4939,13,2.63905732961526,"5","NaN",1
"125","13089021224","DeKalb County",56964,10.9503503024022,0.155584528465884,-1.79827346853394,0.392489270386266,4660,42,3.76120011569356,"2","1",1
"126","13089021225","DeKalb County",67172,11.1151606334883,0.0886943281309479,-2.31572779993913,0.312239484653278,2639,36,3.61091791264422,"2","1",1
"127","13089021226","DeKalb County",78136,11.2663341509185,0.0685322672758424,-2.544245690551,0.379497430039977,3502,400.2,4.72918838900081,"4","2",5
"128","13089021228","DeKalb County",239018,12.3843359788633,0.0075801749271137,-4.04098343642685,0.891253644314869,3430,333,5.8111409929767,"4","1",1
"129","13089021229","DeKalb County",177054,12.0842665281219,0.00923520923520924,-3.95101286499929,0.830591630591631,3465,68,4.23410650459726,"2","2",1
"130","13089021230","DeKalb County",109805,11.6065524107489,0.00131613582521716,-4.48152562267944,0.301921558304817,3799,53.5714285714286,3.1075174604442,"3","1",7
"131","13089021301","DeKalb County",60221,11.0059424489217,0.294782832176818,-1.18815578163516,0.245963673057518,3964,237.142857142857,4.95227405336133,"4","2",7
"132","13089021306","DeKalb County",61047,11.0195631330805,0.248694744169857,-1.35210650630942,0.266272189349112,5746,33.5,3.53832690772198,"2","1",2
"133","13089021307","DeKalb County",76500,11.2451767302259,0.193315266485998,-1.59299746777813,0.274784161952962,3359,21.5,2.41814095347574,"2","1",2
"134","13089021309","DeKalb County",35114,10.4666399364799,0.255508919202518,-1.32610684488129,0.123309053069719,1922,198,5.29330482472449,"4","2",1
"135","13089021310","DeKalb County",38554,10.5600744777843,0.178696695587964,-1.66761433821849,0.26162897591469,5439,153.75,3.12386331865438,"5","2",4
"136","13089021410","DeKalb County",102609,11.5387783797593,0.101669480397674,-2.19221183855152,0.534233727255674,5331,19.5,2.67355376535873,"2","1",2
"137","13089021412","DeKalb County",220694,12.304577716231,0.0136633152874452,-3.74382930820897,0.822892498066512,3879,11,2.484906649788,"2","1",1
"138","13089021415","DeKalb County",121397,11.7069038165713,0.147691618108472,-1.84711393729145,0.51523178807947,4530,270.5,5.05626608973542,"3","1",2
"139","13089021418","DeKalb County",52326,10.8654397497782,0.26898866974402,-1.27658410822188,0.300041963911036,2383,27,3.3322045101752,"2","1",1
"140","13089021502","DeKalb County",98967,11.5026427788932,0.0978931687593105,-2.22661371957203,0.650138327303682,4699,39.3333333333333,2.97368567271914,"4","2",3
"141","13089021503","DeKalb County",72500,11.1914797623656,0.157708049113233,-1.7855306142074,0.58820417878868,3781,49.5,3.91798729086078,"3","1",2
"142","13089021506","DeKalb County",114246,11.6461968237889,0.154448398576512,-1.80515844445157,0.571138898276445,2959,132.4,4.64864778193681,"4","1",5
"143","13089021606","DeKalb County",107898,11.5890342912225,0.0850544081723296,-2.35330583371826,0.687166962699822,4504,56,4.04305126783455,"3","2",1
"144","13089021607","DeKalb County",78611,11.2723941183048,0.0631768953068592,-2.61487554572343,0.447653429602888,1662,47,3.87120101090789,"2","1",1
"145","13089021608","DeKalb County",63507,11.0590628655865,0.165644171779141,-1.73929508169674,0.323680981595092,4075,130,4.87519732320115,"4","1",1
"146","13089021708","DeKalb County",83945,11.3380362199936,0.107058514825505,-2.14508134249234,0.681973235371294,3811,25.6666666666667,3.05539315873014,"2","1",3
"147","13089021711","DeKalb County",120227,11.6972200740158,0.230287033982184,-1.42592109532268,0.468338154934105,3111,66.6666666666667,3.89952493728562,"3","1",3
"148","13089021712","DeKalb County",59477,10.9935130802669,0.144725370531822,-1.8661035365829,0.421641791044776,2412,3,1.38629436111989,"3","NaN",1
"149","13089021818","DeKalb County",82989,11.3265838385134,0.0432801822323462,-2.93219083247908,0.354972090138516,4837,23.5,2.77647979246081,"3","1",2
"150","13089021819","DeKalb County",130386,11.7783312531576,0.0734536082474227,-2.48346439137378,0.637239165329053,3115,18,2.94443897916644,"3","1",1
